"cbs_buurtnummer","postcode","buurtnaam","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","internetsnelheid","wozwaarde","internetsnelheid_norm","wozwaarde_norm","leeftijd_tot15_norm","leeftijd_15.65_norm","leeftijd_van65_norm","allochtoon_w_norm","allochtoon_nw_norm","aanwezigheid_binnensport_norm","aanwezigheid_sportveld_norm","aanwezigheid_basisscholen_norm","aanwezigheid_middelbarescholen_norm","aanwezigheid_ov_norm","aanwezigheid_parkeergelegenheid_norm","aanwezigheid_eigenparkeerpl_norm","autochtoon_norm"
"BU05990558",3041,"Blijdorpsepolder","Noord",3011,13,75,13,72,15,14,74,69,66,54,83,42,6,1.2,3.8,6.1,70,100,100,1.6,2.8,30.5,143,106,4,7,8,6,4,3,7,9,51.9276220954551,4.44233894348145,80,156000,2,3,3,7,2,4,1,8,7,7,7,7,3,1,8
"BU05990660",3053,"Schiebroek","Hillegersberg-Schiebroek",60,20,62,18,63,10,27,56,76,76,69,96,71,13,1,2.7,1.1,80,90,100,1.5,1.4,14.8,114,110,4,7,5,3,2,3,5,2,51.9592486,4.4705335,50,164000,1,4,6,4,3,2,3,6,8,8,9,9,7,2,6
"BU05990661",3051,"Hillegersberg-zuid","Hillegersberg-Schiebroek",61,19,71,11,77,13,10,60,62,75,55,90,21,9,0.7,1.1,1,70,70,100,1,0.8,26.1,151,123,3,9,9,5,1,2,2,1,51.9433534,4.473134,500,208000,10,6,6,6,2,3,1,6,6,8,7,8,0,1,8
"BU05990662",3054,"Hillegersberg-noord","Hillegersberg-Schiebroek",62,17,57,26,74,13,13,85,75,64,62,86,68,38,0.3,2.1,1.9,80,0,100,1.5,0,13.7,147,118,4,8,9,3,0,1,4,3,51.9562734816938,4.48827981948853,100,302000,2,10,5,2,5,3,1,9,8,7,8,8,7,5,8
"BU05990664",3056,"Terbregge","Hillegersberg-Schiebroek",64,23,68,9,74,11,15,15,73,78,33,39,83,38,0.6,0,0,40,20,100,0.5,0.2,4.9,149,134,1,10,9,1,0,2,0,0,51.9512482463102,4.52173233032227,50,291000,1,10,7,5,1,2,2,1,7,9,4,0,9,5,8
"BU05990665",3055,"Molenlaankwartier","Hillegersberg-Schiebroek",65,23,53,24,80,14,6,77,79,83,68,88,76,25,0.5,0.8,1,60,0,100,0.8,0,6.3,146,133,2,10,8,1,0,1,1,1,51.9593073,4.5065996,50,207000,1,6,7,1,5,4,0,8,8,9,9,8,8,3,9
"BU05990814",3031,"Rubroek","Kralingen-Crooswijk",14,13,72,15,47,12,41,74,44,65,42,91,57,12,2,1.8,3.1,60,100,100,1.3,4.3,42.4,106,97,4,6,4,8,6,6,3,4,51.9268133,4.4899558,80,153000,2,3,3,6,3,3,5,8,4,7,6,9,5,1,4
"BU05990836",3034,"Nieuw Crooswijk","Kralingen-Crooswijk",36,15,76,10,46,11,43,38,89,64,33,74,89,25,0.9,1.2,1.5,100,10,100,2.5,0.1,30.3,106,89,7,5,4,6,0,3,2,2,51.9399819,4.4920865,300,174000,6,4,4,7,1,2,5,3,10,7,4,6,9,3,4
"BU05990837",3034,"Oud Crooswijk","Kralingen-Crooswijk",37,18,68,14,33,10,58,49,74,69,39,84,57,10,1.8,2.2,3,50,90,100,0.9,1.9,34.2,90,98,2,6,3,7,3,5,4,4,51.9319573,4.494037,100,174000,2,4,5,5,2,2,7,5,8,7,5,7,5,1,2
"BU05990841",3061,"Kralingen-west","Kralingen-Crooswijk",41,15,74,12,47,13,40,80,56,65,57,94,52,7,0.9,1.9,2.4,20,100,100,0.2,3.2,26,90,101,1,6,3,5,5,3,3,3,51.9261967,4.5061,500,174000,10,4,4,6,2,3,5,8,5,7,8,9,4,1,4
