"buurtnaam","cbs_buurtnummer","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","postcode","internetsnelheid"
"Hoogvliet-zuid","BU05991699","Hoogvliet",99,"14%","63%","23%","71%","9%","20%","56%","66%","86%","75%","87%","66%","23%","0,7","1,3","0,9","84%","98%","0%","1,3","2","0",123,127,4,9,6,0,3,3,2,1,51.8533384,4.3664359,3192,
"Katendrecht","BU05991085","Feijenoord",85,"22%","67%","11%","44%","10%","46%","20%","55%","87%","18%","86%","63%","41%","0,6","0,2","0,7","100%","80%","100%","3,6","2","22",114,113,10,7,5,4,3,3,0,1,51.9000849,4.4797897,3072,
"Kleinpolder","BU05990451","Overschie",51,"17%","64%","19%","47%","10%","43%","62%","63%","78%","21%","78%","64%","18%","0,6","0","0","88%","1%","52%","1,5","0","0,9",109,113,4,7,5,0,0,3,0,0,51.9332056568974,4.4344425201416,3042,
"Kop van Zuid","BU05990117","Feijenoord",17,"8%","88%","4%","45%","18%","37%","25%","26%","39%","23%","99%","80%","68%","0,1","0","1","56%","100%","100%","1","3,9","24,1",130,108,3,7,7,5,6,0,0,2,51.9057487,4.4865501,3071,
"Kop van Zuid-Entrepot","BU05991079","Feijenoord",79,"19%","70%","11%","35%","13%","52%","28%","48%","83%","46%","95%","71%","35%","1,1","0,4","1","83%","100%","100%","2","2,5","24,2",100,111,6,7,4,5,4,5,1,2,51.9077656,4.5031091,3071,
"Kralingen-west","BU05990841","Kralingen-Crooswijk",41,"15%","74%","12%","47%","13%","40%","63%","58%","69%","63%","97%","56%","11%","0,5","3,3","3,7","17%","100%","100%","0,2","3,2","25,8",91,99,1,6,3,5,5,2,6,6,51.9261967,4.5061,3061,
"Kralingen Oost","BU05990842","Kralingen-Crooswijk",3005,"16%","69%","15%","67%","21%","12%","55%","70%","64%","56%","97%","62%","27%","0,8","1,7","1,7","26%","99%","99%","0,3","2,5","16,9",138,110,1,7,8,3,4,3,3,3,51.921442,4.5264489,3062,
"Kralingse Bos","BU05990843","Kralingen-Crooswijk",3005,"16%","69%","15%","67%","21%","12%","55%","70%","64%","56%","97%","62%","27%","0,8","1,7","1,7","26%","99%","99%","0,3","2,5","16,9",138,110,1,7,8,3,4,3,3,3,51.9374906,4.5225635,3062,
"Kralingseveer","BU05991446","Prins Alexander",46,"19%","70%","12%","82%","8%","11%","10%","78%","36%","16%","39%","70%","17%","0","0","0","100%","65%","14%","1,9","0,7","0,1",155,138,5,10,9,0,1,0,0,0,51.9106446,4.550995,3062,
"Liskwartier","BU05990534","Noord",34,"17%","71%","12%","53%","12%","36%","47%","29%","64%","38%","83%","40%","11%","1,1","2,1","0,1","95%","52%","100%","2,5","1","32,4",110,114,7,7,5,6,1,5,4,0,51.9378360457688,4.4743537902832,3037,
"Lombardijen","BU05991284","IJsselmonde",84,"18%","63%","19%","48%","10%","43%","36%","59%","78%","53%","89%","63%","17%","0,6","0,9","0,9","79%","0%","100%","1,5","0","16,3",87,99,4,6,3,3,0,3,2,1,51.8768883812822,4.52229022979736,3076,
"Middelland","BU05990325","Delfshaven",25,"14%","78%","8%","40%","16%","44%","62%","55%","73%","63%","97%","39%","7%","1,7","3,7","5,8","72%","100%","100%","1,1","4,1","42,8",91,97,3,5,3,9,6,7,7,9,51.9168499457251,4.45937633514404,3021,
"Molenlaankwartier","BU05990665","Hillegersberg-Schiebroek",65,"23%","53%","24%","80%","14%","6%","50%","80%","93%","74%","89%","68%","26%","0,6","0,8","1","64%","0%","100%","0,8","0","6,3",146,133,2,9,8,1,0,3,1,2,51.9593073,4.5065996,3055,
