wijknaam;wijknummer;buurtnaam;cbs_buurtnummer;leeftijd_tot15;leeftijd_15-65;leeftijd_van65;autochtoon;allochtoon_w;allochtoon_nw;aanwezigheid_binnensport;aanwezigheid_sportveld;aanwezigheid_basisscholen;aanwezigheid_middelbarescholen;aanwezigheid_ov;aanwezigheid_parkeergelegenheid;aanwezigheid_eigenparkeerpl;aantal_basisscholen;aantal_vmboschool;aantal_hav/vwoschool;norm_bushalte;norm_metrostation;norm_tramhalte;aantal_bushaltes;aantal_metrostations;aantal_tramhaltes;veiligheidsindex_sub;veiligheidsindex_ob
Charlois;76;Zuidplein;BU05991576;11%;70%;20%;50%;14%;36%;82%;75%;49%;59%;100%;72%;44%;0;2;1;84%;100%;100%;2.7;1.8;18.6;96;57
Charlois;77;Pendrecht;BU05991577;21%;66%;13%;31%;12%;57%;27%;68%;83%;42%;92%;68%;19%;0.8;0.4;0.8;71%;99%;100%;1;1;3.1;66;91
Charlois;78;Zuiderpark en Zuidrand;BU05991578;6%;48%;46%;77%;10%;14%;28%;79%;57%;50%;59%;89%;62%;0.6;3.6;1.5;54%;87%;92%;1;1.1;5.1;91;45
Feijenoord;79;Kop van Zuid-Entrepot;BU05991079;19%;70%;11%;35%;13%;52%;28%;48%;83%;46%;95%;71%;35%;1.1;0.4;1;83%;100%;100%;2;2.5;24.2;100;111
Feijenoord;80;Vreewijk;BU05991080;15%;65%;20%;59%;10%;32%;49%;63%;85%;77%;93%;59%;12%;0.8;1.2;1.6;89%;35%;100%;1.6;0.6;23.3;78;83
Feijenoord;81;Bloemhof;BU05991081;19%;71%;10%;24%;11%;65%;39%;40%;80%;52%;90%;39%;10%;1.7;2.3;1.4;70%;100%;100%;1.4;2.1;22.6;61;90
Feijenoord;82;Hillesluis;BU05991082;20%;71%;8%;16%;10%;74%;28%;49%;80%;48%;97%;54%;18%;2.3;1.4;0.5;87%;44%;100%;1.9;0.7;23.4;73;91
IJsselmonde;83;Oud IJsselmonde;BU05991283;15%;72%;13%;64%;10%;26%;34%;37%;56%;17%;55%;68%;32%;0.2;0;0;58%;0%;100%;1.1;0;13;115;109
IJsselmonde;84;Lombardijen;BU05991284;18%;63%;19%;48%;10%;43%;36%;59%;78%;53%;89%;63%;17%;0.6;0.9;0.9;79%;0%;100%;1.5;0;16.3;87;99
Feijenoord;85;Katendrecht;BU05991085;22%;67%;11%;44%;10%;46%;20%;55%;87%;18%;86%;63%;41%;0.6;0.2;0.7;100%;80%;100%;3.6;2;22;114;113
